學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
一貫道崇德學院,69,21,0,1,0,0,9,0,1,0,0,6,0,1,0,0,3
世新大學,11223,753,73,28,13,127,258,7,25,5,36,85,18,19,7,3,49
中信學校財團法人中信金融管理學院,825,27,3,0,0,1,11,0,0,2,0,0,0,10,0,0,0
中原大學,16405,942,61,44,70,177,260,3,75,36,53,79,36,25,18,4,1
中國文化大學,24788,2373,115,98,76,296,528,6,20,46,75,144,46,46,59,568,250
中國科技大學,8815,605,30,44,23,104,247,1,11,24,10,11,23,13,13,0,51
中國醫藥大學,7203,497,10,9,1,68,48,5,18,1,21,35,7,39,19,20,196
中山醫學大學,6833,502,11,8,10,260,61,2,8,1,27,73,12,12,9,0,8
中州學校財團法人中州科技大學,2668,97,7,7,2,5,56,3,1,4,0,0,0,10,0,1,1
中臺科技大學,8170,962,33,51,36,142,165,16,57,23,3,31,32,19,12,331,11
中華大學學校財團法人中華大學,4948,458,26,25,29,105,139,3,11,35,14,20,18,14,8,7,4
中華學校財團法人中華科技大學,4773,1173,44,68,2,26,302,5,0,135,7,0,1,3,0,458,122
中華醫事科技大學,8724,789,27,53,0,83,70,2,3,4,0,1,4,2,0,478,62
亞東技術學院,4388,224,13,27,27,31,84,1,1,11,6,0,15,4,2,0,2
亞洲大學,11421,588,61,22,22,128,145,3,3,18,13,69,15,58,5,4,22
仁德醫護管理專科學校,6515,113,8,15,15,40,17,4,0,3,0,0,11,0,0,0,0
佛光大學,3458,316,27,10,17,35,110,8,2,12,1,41,4,34,5,0,10
修平學校財團法人修平科技大學,4469,262,15,16,21,45,97,1,2,5,4,0,4,31,0,21,0
健行學校財團法人健行科技大學,11279,730,42,61,47,120,267,14,8,92,1,0,0,29,2,3,44
僑光科技大學,10610,308,15,26,10,54,131,3,0,30,4,0,10,4,10,8,3
元智大學,8739,382,22,4,55,47,120,2,5,4,7,24,0,9,0,1,82
光宇學校財團法人元培醫事科技大學,6186,216,24,15,18,26,61,6,2,22,0,0,11,13,0,18,0
南亞科技學校財團法人南亞技術學院,3363,442,21,42,4,42,184,13,3,47,0,1,7,19,0,59,0
南臺學校財團法人南臺科技大學,18024,1940,129,234,28,239,800,15,14,191,39,26,21,26,56,0,122
南華大學,5701,623,44,55,19,117,166,3,22,14,13,88,18,30,16,0,18
南開科技大學,3755,185,8,12,4,14,78,2,0,17,0,6,10,6,9,0,19
台北海洋學校財團法人台北海洋科技大學,4192,468,31,87,0,107,136,2,3,29,4,0,1,0,0,55,13
台南家專學校財團法人台南應用科技大學,12363,979,82,85,102,192,275,12,4,21,29,0,35,111,0,0,31
台灣基督長老教會南神神學院,75,11,0,2,1,0,3,0,0,1,0,1,1,1,1,0,0
台灣首府學校財團法人台灣首府大學,1130,70,3,4,7,5,44,3,1,1,0,0,0,2,0,0,0
台神學校財團法人台灣神學研究學院,111,10,3,1,0,0,3,0,2,0,0,0,1,0,0,0,0
吳鳳科技大學,5058,504,11,26,41,50,111,2,2,22,0,1,18,23,2,194,1
和春技術學院,688,49,1,1,2,2,27,0,1,0,0,0,0,0,0,11,4
嘉藥學校財團法人嘉南藥理大學,12234,1148,66,76,1,46,105,3,2,35,2,1,3,3,1,313,491
國立中央大學,11938,913,42,43,31,136,242,6,77,9,27,144,12,22,16,0,106
國立中山大學,9706,896,39,13,7,56,232,9,56,10,24,149,5,7,25,3,261
國立中正大學,11128,1048,36,24,29,167,263,11,69,3,22,232,23,65,48,1,55
國立中興大學,14974,1355,95,42,13,190,269,4,110,12,29,180,27,88,53,0,243
國立勤益科技大學,12134,808,20,39,81,232,202,4,8,34,4,7,5,11,9,148,4
國立嘉義大學,11689,1089,101,38,42,241,385,11,42,37,23,60,9,84,0,8,8
國立宜蘭大學,5476,319,27,13,21,50,79,1,7,24,11,23,29,13,5,0,16
國立屏東大學,9027,531,23,15,20,57,196,11,37,3,8,92,20,23,19,1,6
國立屏東科技大學,10818,661,58,17,57,77,177,4,15,6,6,11,138,67,21,3,4
國立彰化師範大學,8453,905,45,18,8,67,294,13,75,19,8,159,6,31,34,34,94
國立成功大學,21773,1889,77,30,64,380,314,14,134,19,0,156,33,134,52,10,472
國立政治大學,16351,2209,93,17,1,43,481,20,179,27,61,163,0,0,0,526,598
國立暨南國際大學,6016,485,37,7,56,31,189,7,23,6,16,55,13,38,7,0,0
國立東華大學,10008,1153,76,44,43,62,300,10,77,15,19,189,22,102,21,2,171
國立清華大學,16917,1227,82,16,119,176,288,20,109,38,82,116,51,44,15,0,71
國立澎湖科技大學,3047,162,6,1,0,6,15,1,0,5,0,0,0,0,0,1,127
國立聯合大學,7559,283,22,4,35,69,70,0,4,12,6,18,10,6,16,6,5
國立臺中教育大學,4902,518,32,7,6,39,139,21,27,1,17,46,87,57,4,2,33
國立臺中科技大學,16091,1051,99,45,69,205,393,9,35,18,19,0,28,73,27,28,3
國立臺北商業大學,7632,364,34,19,31,73,119,2,8,8,25,5,11,20,6,2,1
國立臺北大學,10080,800,36,15,31,109,298,9,34,9,41,100,10,13,19,0,76
國立臺北教育大學,5885,655,22,19,4,63,185,10,69,13,22,143,8,36,15,25,21
國立臺北科技大學,13837,763,44,26,42,90,288,4,36,38,87,49,10,29,19,0,1
國立臺北藝術大學,3144,458,35,34,17,17,88,10,32,2,44,128,1,13,7,2,28
國立臺北護理健康大學,5338,502,25,19,8,45,129,21,47,2,17,91,23,33,10,8,24
國立臺南大學,5773,555,23,17,18,67,168,4,25,5,2,101,5,8,10,0,102
國立臺南藝術大學,1599,245,6,5,3,13,42,4,9,1,9,51,50,19,0,0,33
國立臺南護理專科學校,1917,40,8,0,6,17,7,1,0,0,0,0,0,0,1,0,0
國立臺東大學,4939,456,29,19,7,47,105,5,12,5,3,27,8,27,17,54,91
國立臺東專科學校,1041,114,5,11,17,41,11,1,1,5,0,0,18,3,0,1,0
國立臺灣大學,32527,3386,229,52,37,419,551,11,166,27,227,598,27,8,19,11,1004
國立臺灣師範大學,15920,2125,44,59,2,210,632,41,244,15,93,535,50,0,25,13,162
國立臺灣戲曲學院,546,25,3,1,0,2,6,1,1,1,1,0,7,2,0,0,0
國立臺灣海洋大學,8905,607,41,17,24,107,197,7,8,20,11,35,37,47,26,1,29
國立臺灣科技大學,11171,779,43,36,65,115,260,1,50,7,8,84,7,17,4,2,80
國立臺灣藝術大學,5545,533,28,25,34,24,163,7,24,10,48,63,24,5,5,12,61
國立臺灣體育運動大學,3122,224,7,54,22,22,91,0,11,6,1,2,0,1,1,3,3
國立虎尾科技大學,11038,453,24,23,43,122,122,3,6,27,4,20,24,10,8,0,17
國立金門大學,4131,215,13,5,1,59,92,2,12,4,3,2,1,10,0,10,1
國立陽明交通大學,19716,1790,108,36,26,283,451,18,177,45,95,332,32,60,52,0,75
國立雲林科技大學,9808,749,36,83,64,83,275,10,40,21,16,56,30,3,14,7,11
國立體育大學,2586,319,5,5,0,0,289,2,15,0,0,0,0,0,2,0,1
國立高雄大學,5741,511,45,26,88,90,221,3,7,7,4,2,0,9,4,2,3
國立高雄師範大學,6845,944,36,15,6,101,311,22,94,12,21,215,33,65,8,1,4
國立高雄科技大學,27438,1445,65,56,131,262,542,11,54,54,11,0,0,156,1,24,78
國立高雄餐旅大學,4929,201,13,17,16,28,41,0,5,6,5,3,5,11,1,42,8
城市學校財團法人臺北城市科技大學,9858,1136,33,91,24,39,328,3,3,75,8,3,41,47,23,366,52
大仁科技大學,5389,977,48,109,11,122,149,7,8,24,6,13,19,12,20,154,275
大同大學,4012,247,16,9,19,60,63,1,6,11,8,21,6,7,7,0,13
大同技術學院,1137,156,2,9,1,14,74,4,0,5,0,0,1,1,1,35,9
大漢技術學院,999,146,3,5,5,12,81,1,2,9,0,19,2,3,2,0,2
大華學校財團法人敏實科技大學,771,54,5,5,8,6,22,2,0,6,0,0,0,0,0,0,0
大葉大學,7770,784,70,74,21,81,348,4,13,45,17,37,16,7,14,1,36
學校財團法人中華浸信會基督教台灣浸會神學院,43,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,5370,205,17,29,9,34,75,3,0,22,2,0,3,3,3,0,5
實踐大學,13216,732,69,26,58,168,163,10,12,9,42,43,27,20,30,12,43
崇仁醫護管理專科學校,3293,65,8,4,4,37,2,1,0,1,0,0,2,0,0,2,4
崇右學校財團法人崇右影藝科技大學,2609,126,4,24,17,14,41,3,1,10,3,0,4,5,0,0,0
崑山科技大學,10537,1657,42,59,129,166,364,5,4,125,17,8,5,33,0,700,0
嶺東科技大學,10510,402,39,63,11,64,118,3,5,36,5,16,11,20,8,0,3
康寧學校財團法人康寧大學,3465,207,25,5,14,41,47,2,1,1,8,0,7,10,6,30,10
廣亞學校財團法人育達科技大學,3962,272,24,30,5,22,87,11,4,17,2,8,5,23,1,3,30
建國科技大學,6620,237,19,23,8,21,87,1,2,22,0,0,8,29,1,8,8
弘光科技大學,12700,959,93,104,26,153,316,21,34,27,10,17,38,15,11,15,79
德明財經科技大學,7384,569,26,10,54,98,85,7,6,14,7,4,9,17,40,188,4
德育學校財團法人德育護理健康學院,4221,393,30,18,37,47,97,5,9,27,0,3,34,8,2,5,71
慈惠醫護管理專科學校,3977,561,56,102,96,146,83,10,1,28,0,0,12,2,0,0,25
慈濟學校財團法人慈濟大學,3383,187,10,3,5,38,13,0,3,3,4,37,5,4,2,0,60
慈濟學校財團法人慈濟科技大學,3163,158,19,7,6,63,33,5,1,1,1,0,1,4,4,0,13
敏惠醫護管理專科學校,3936,129,10,9,23,32,11,1,1,0,0,0,0,0,0,7,35
文藻學校財團法人文藻外語大學,9012,706,61,49,126,117,205,14,6,7,41,19,4,20,22,10,5
新生醫護管理專科學校,6064,261,40,36,67,7,32,3,3,0,0,0,0,0,0,0,73
明志科技大學,4492,133,9,13,3,48,34,0,0,12,3,3,4,4,0,0,0
明新學校財團法人明新科技大學,11886,916,30,38,40,91,263,16,3,84,3,12,19,35,7,224,51
明道學校財團法人明道大學,2525,133,18,6,0,8,47,4,2,14,1,6,1,9,1,6,10
景文科技大學,6656,353,36,66,13,61,80,5,6,36,6,9,3,23,5,4,0
朝陽科技大學,15050,683,50,56,27,166,204,10,27,26,10,13,13,36,14,2,29
東南科技大學,5168,667,13,41,6,69,63,1,7,16,2,0,11,31,2,228,177
東吳大學,15374,1158,76,11,65,139,240,8,57,12,90,152,37,11,27,2,231
東方學校財團法人東方設計大學,2072,397,10,22,6,23,50,1,0,8,1,1,2,3,2,249,19
東海大學,15710,1418,109,35,47,189,317,11,28,7,62,224,15,67,12,32,263
樹人醫護管理專科學校,7279,345,33,1,18,148,86,0,1,1,0,0,15,0,0,0,42
樹德科技大學,10496,408,45,80,15,62,98,1,11,16,2,10,5,5,0,58,0
正修學校財團法人正修科技大學,17473,1518,86,100,61,201,495,8,3,66,20,18,34,23,14,122,267
法鼓學校財團法人法鼓文理學院,302,79,5,5,0,0,23,1,0,0,4,27,1,7,0,0,6
淡江大學學校財團法人淡江大學,24209,1829,129,30,18,230,135,4,36,6,60,73,24,18,24,858,184
玄奘大學,2408,374,27,40,13,19,107,0,5,11,4,39,8,15,2,49,35
環球學校財團法人環球科技大學,3673,225,14,42,17,69,37,4,1,8,1,0,5,2,1,24,0
真理大學,5255,203,19,93,12,34,17,1,2,4,5,9,2,0,5,0,0
美和學校財團法人美和科技大學,6300,555,41,50,7,76,193,16,13,32,1,17,28,24,12,36,9
義守大學,14351,438,31,26,17,161,118,1,7,6,5,9,3,21,7,4,22
耕莘健康管理專科學校,4698,168,18,1,5,92,6,2,3,0,0,0,7,6,0,17,11
聖母醫護管理專科學校,2227,144,13,10,36,56,10,2,3,0,2,0,9,0,0,0,3
聖約翰科技大學,2391,253,4,19,18,18,86,3,4,32,0,6,3,5,4,28,23
育英醫護管理專科學校,1991,81,11,4,23,36,2,0,0,1,0,0,3,1,0,0,0
致理學校財團法人致理科技大學,11575,634,46,50,97,128,159,8,22,28,15,7,23,9,26,13,3
臺北基督學院,74,10,0,1,2,0,1,0,0,0,1,0,0,0,0,0,5
臺北市立大學,7986,730,48,28,22,65,250,9,61,10,29,105,16,25,42,0,20
臺北醫學大學,5993,508,27,7,5,218,83,6,28,0,14,45,6,38,7,0,24
華夏學校財團法人華夏科技大學,4043,482,15,28,12,67,115,6,4,35,2,8,10,6,4,144,26
華梵大學,1165,177,22,3,11,18,32,0,1,11,3,40,1,23,0,0,12
萬能學校財團法人萬能科技大學,9691,580,45,164,8,76,183,11,3,35,8,7,23,13,4,0,0
蘭陽技術學院,513,34,0,3,20,3,7,0,0,1,0,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,178,35,7,4,0,6,11,0,0,0,0,0,0,3,0,0,4
輔仁大學,25651,1890,182,39,34,506,590,14,89,14,70,264,19,3,12,15,39
輔英科技大學,9791,649,63,82,41,198,146,13,10,20,4,13,9,11,17,10,12
逢甲大學,21059,919,95,20,31,168,219,10,37,45,49,71,5,87,9,9,64
遠東科技大學,4724,413,17,34,23,58,157,2,4,32,6,10,10,10,3,0,47
醒吾學校財團法人醒吾科技大學,7943,1101,55,94,242,192,318,10,7,38,30,0,47,23,16,0,29
銘傳大學,18614,897,78,13,105,111,194,4,13,32,27,59,19,14,6,5,217
長庚大學,6811,489,13,13,0,135,95,2,11,5,13,24,0,63,0,2,113
長庚學校財團法人長庚科技大學,6333,184,25,7,4,36,55,4,9,1,4,9,15,6,4,0,5
長榮大學,8248,440,27,41,0,179,88,4,4,14,13,29,17,6,14,4,0
開南大學,5587,408,45,39,13,45,163,5,9,29,1,6,0,7,5,0,41
靜宜大學,12018,644,42,48,86,169,139,7,12,3,13,34,22,19,26,10,14
馬偕學校財團法人馬偕醫學院,816,51,7,0,0,21,8,0,1,0,4,6,0,0,0,0,4
馬偕學校財團法人馬偕醫護管理專科學校,4106,141,6,2,31,63,15,2,1,2,2,0,14,2,1,0,0
高苑科技大學,3510,248,4,19,3,11,172,2,1,10,2,0,1,18,0,0,5
高雄醫學大學,6490,521,11,13,7,185,101,5,24,3,11,97,16,23,11,0,14
黎明技術學院,5191,399,13,55,14,89,133,2,2,19,5,0,35,2,2,6,22
龍華科技大學,11606,591,47,74,40,121,175,3,3,31,1,10,8,13,1,1,63
