學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
世新大學,354,311,16,17,8,0,0,2,0
中信學校財團法人中信金融管理學院,9,9,0,0,0,0,0,0,0
中原大學,793,658,100,10,12,0,8,5,0
中國文化大學,2402,1569,623,52,30,0,18,102,8
中國科技大學,320,303,17,0,0,0,0,0,0
中國醫藥大學,119,82,4,29,1,0,1,0,2
中山醫學大學,183,166,8,7,1,0,1,0,0
中州學校財團法人中州科技大學,48,48,0,0,0,0,0,0,0
中臺科技大學,291,233,56,1,1,0,0,0,0
中華大學學校財團法人中華大學,256,251,2,0,0,0,0,0,3
中華學校財團法人中華科技大學,183,138,45,0,0,0,0,0,0
中華醫事科技大學,178,178,0,0,0,0,0,0,0
亞東學校財團法人亞東科技大學,133,108,25,0,0,0,0,0,0
亞洲大學,324,241,75,3,2,2,1,0,0
仁德醫護管理專科學校,337,337,0,0,0,0,0,0,0
佛光大學,116,101,4,0,1,0,10,0,0
修平學校財團法人修平科技大學,182,149,33,0,0,0,0,0,0
健行學校財團法人健行科技大學,448,399,49,0,0,0,0,0,0
僑光科技大學,146,146,0,0,0,0,0,0,0
元智大學,339,220,116,0,0,0,3,0,0
光宇學校財團法人元培醫事科技大學,217,217,0,0,0,0,0,0,0
南亞科技學校財團法人南亞技術學院,76,66,10,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,538,439,92,1,1,0,0,5,0
南華大學,200,175,23,0,0,0,0,0,2
南開科技大學,120,89,31,0,0,0,0,0,0
台北海洋學校財團法人台北海洋科技大學,237,187,50,0,0,0,0,0,0
台南家專學校財團法人台南應用科技大學,213,194,3,1,2,0,0,13,0
台灣首府學校財團法人台灣首府大學,38,38,0,0,0,0,0,0,0
吳鳳科技大學,82,76,6,0,0,0,0,0,0
和春技術學院,21,20,1,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,245,205,38,1,1,0,0,0,0
國立中央大學,212,126,31,20,9,0,17,9,0
國立中山大學,255,133,78,6,6,0,14,1,17
國立中正大學,220,148,0,43,7,0,7,8,7
國立中興大學,303,237,15,34,4,2,4,7,0
國立勤益科技大學,211,188,23,0,0,0,0,0,0
國立嘉義大學,172,134,14,8,3,0,3,10,0
國立宜蘭大學,150,137,11,2,0,0,0,0,0
國立屏東大學,215,186,20,0,3,0,0,4,2
國立屏東科技大學,288,244,35,1,0,0,1,6,1
國立彰化師範大學,206,165,26,4,2,0,1,8,0
國立成功大學,602,478,23,73,19,0,8,1,0
國立政治大學,712,264,1,203,152,0,89,3,0
國立暨南國際大學,214,139,47,8,2,0,2,13,3
國立東華大學,456,396,22,5,7,0,9,17,0
國立清華大學,465,192,133,26,25,1,20,26,42
國立澎湖科技大學,128,46,27,0,0,0,0,0,55
國立聯合大學,202,183,13,5,0,0,0,1,0
國立臺中教育大學,104,58,36,0,1,0,0,9,0
國立臺中科技大學,256,176,78,0,2,0,0,0,0
國立臺北商業大學,114,77,26,0,0,0,11,0,0
國立臺北大學,266,146,5,84,11,3,14,3,0
國立臺北教育大學,123,70,3,7,0,0,17,20,6
國立臺北科技大學,254,211,33,0,0,0,9,1,0
國立臺北藝術大學,223,114,80,0,16,0,0,13,0
國立臺北護理健康大學,102,80,20,2,0,0,0,0,0
國立臺南大學,121,85,26,2,2,0,0,6,0
國立臺南藝術大學,52,38,14,0,0,0,0,0,0
國立臺南護理專科學校,14,12,2,0,0,0,0,0,0
國立臺東大學,146,109,18,1,4,0,2,10,2
國立臺東專科學校,33,33,0,0,0,0,0,0,0
國立臺灣大學,1286,877,70,128,72,0,105,34,0
國立臺灣師範大學,554,379,20,46,23,0,24,62,0
國立臺灣戲曲學院,26,26,0,0,0,0,0,0,0
國立臺灣海洋大學,302,242,14,9,0,0,0,0,37
國立臺灣科技大學,252,213,24,4,1,0,4,6,0
國立臺灣藝術大學,208,108,80,5,2,0,0,13,0
國立臺灣體育運動大學,149,85,51,0,0,0,0,13,0
國立虎尾科技大學,227,227,0,0,0,0,0,0,0
國立金門大學,92,85,6,0,1,0,0,0,0
國立陽明交通大學,313,230,17,53,2,0,4,4,3
國立雲林科技大學,238,174,46,0,2,0,11,5,0
國立體育大學,110,83,9,0,0,0,0,18,0
國立高雄大學,164,155,5,0,0,0,4,0,0
國立高雄師範大學,123,100,1,6,2,0,3,11,0
國立高雄科技大學,630,455,160,4,8,0,2,1,0
國立高雄餐旅大學,35,26,4,0,0,0,0,5,0
城市學校財團法人臺北城市科技大學,590,364,219,0,0,0,7,0,0
大仁科技大學,178,169,9,0,0,0,0,0,0
大同大學,155,141,12,0,0,0,0,0,2
大同技術學院,37,37,0,0,0,0,0,0,0
大漢技術學院,14,14,0,0,0,0,0,0,0
大華學校財團法人敏實科技大學,53,50,3,0,0,0,0,0,0
大葉大學,292,194,31,4,1,0,3,48,11
宏國學校財團法人宏國德霖科技大學,107,100,7,0,0,0,0,0,0
實踐大學,627,427,191,1,1,0,7,0,0
崇仁醫護管理專科學校,57,57,0,0,0,0,0,0,0
崇右學校財團法人崇右影藝科技大學,114,95,19,0,0,0,0,0,0
崑山科技大學,348,251,97,0,0,0,0,0,0
嶺東科技大學,216,203,11,0,1,0,0,1,0
康寧學校財團法人康寧大學,85,85,0,0,0,0,0,0,0
廣亞學校財團法人育達科技大學,161,108,53,0,0,0,0,0,0
建國科技大學,199,146,53,0,0,0,0,0,0
弘光科技大學,304,229,57,6,1,0,0,11,0
德明財經科技大學,572,277,295,0,0,0,0,0,0
德育學校財團法人德育護理健康學院,210,207,3,0,0,0,0,0,0
慈惠醫護管理專科學校,245,245,0,0,0,0,0,0,0
慈濟學校財團法人慈濟大學,91,50,28,4,2,0,0,7,0
慈濟學校財團法人慈濟科技大學,81,79,2,0,0,0,0,0,0
敏惠醫護管理專科學校,115,115,0,0,0,0,0,0,0
文藻學校財團法人文藻外語大學,382,168,163,9,2,2,17,21,0
新生醫護管理專科學校,189,161,0,0,0,0,0,0,28
明志科技大學,145,118,27,0,0,0,0,0,0
明新學校財團法人明新科技大學,422,338,63,2,0,0,0,19,0
明道學校財團法人明道大學,85,70,15,0,0,0,0,0,0
景文科技大學,265,218,47,0,0,0,0,0,0
朝陽科技大學,439,372,62,0,1,0,0,4,0
東南科技大學,186,165,21,0,0,0,0,0,0
東吳大學,585,364,76,95,23,1,5,21,0
東方學校財團法人東方設計大學,103,103,0,0,0,0,0,0,0
東海大學,548,431,39,34,34,0,2,8,0
樹人醫護管理專科學校,223,219,4,0,0,0,0,0,0
樹德科技大學,324,302,22,0,0,0,0,0,0
正修學校財團法人正修科技大學,258,258,0,0,0,0,0,0,0
法鼓學校財團法人法鼓文理學院,1,0,1,0,0,0,0,0,0
淡江大學學校財團法人淡江大學,1042,863,60,46,36,0,32,5,0
玄奘大學,113,113,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,127,127,0,0,0,0,0,0,0
真理大學,260,259,0,1,0,0,0,0,0
美和學校財團法人美和科技大學,128,128,0,0,0,0,0,0,0
義守大學,600,531,37,5,2,0,4,0,21
耕莘健康管理專科學校,226,204,22,0,0,0,0,0,0
聖母醫護管理專科學校,23,23,0,0,0,0,0,0,0
聖約翰科技大學,164,164,0,0,0,0,0,0,0
育英醫護管理專科學校,59,58,1,0,0,0,0,0,0
致理學校財團法人致理科技大學,337,182,155,0,0,0,0,0,0
臺北基督學院,4,4,0,0,0,0,0,0,0
臺北市立大學,299,202,34,7,4,0,0,47,5
臺北醫學大學,122,99,12,9,2,0,0,0,0
華夏學校財團法人華夏科技大學,106,105,0,1,0,0,0,0,0
華梵大學,59,59,0,0,0,0,0,0,0
萬能學校財團法人萬能科技大學,341,277,64,0,0,0,0,0,0
蘭陽技術學院,34,34,0,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,1,1,0,0,0,0,0,0,0
輔仁大學,771,491,47,48,101,0,30,12,42
輔英科技大學,276,208,59,9,0,0,0,0,0
逢甲大學,654,611,36,2,0,0,5,0,0
遠東科技大學,246,205,41,0,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,302,301,0,1,0,0,0,0,0
銘傳大學,890,753,100,11,8,1,1,16,0
長庚大學,173,146,14,13,0,0,0,0,0
長庚學校財團法人長庚科技大學,19,19,0,0,0,0,0,0,0
長榮大學,272,260,10,2,0,0,0,0,0
開南大學,284,249,26,3,4,0,2,0,0
靜宜大學,684,418,207,14,0,1,21,23,0
馬偕學校財團法人馬偕醫學院,8,8,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,92,91,1,0,0,0,0,0,0
高苑科技大學,50,46,4,0,0,0,0,0,0
高雄醫學大學,85,75,1,8,1,0,0,0,0
黎明技術學院,165,147,18,0,0,0,0,0,0
龍華科技大學,475,355,120,0,0,0,0,0,0
