學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,116,0,0,0,0,0,0,0,0,0,0,0,0,0
世新大學,22774,651,123,0,164,53,280,0,0,1,10,3,17,0
中信學校財團法人中信金融管理學院,1436,50,5,0,28,9,4,0,0,0,0,0,2,2
中原大學,32434,755,36,1,152,70,458,0,2,1,18,5,12,0
中國文化大學,50372,1960,126,0,771,234,627,0,1,9,52,24,18,98
中國科技大學,18168,927,134,0,233,225,317,0,0,1,11,1,0,5
中國醫藥大學,14424,318,10,0,91,4,144,0,0,0,7,1,37,24
中山醫學大學,13826,407,6,0,151,21,223,0,1,0,3,0,1,1
中州學校財團法人中州科技大學,6122,440,4,0,40,187,65,0,0,0,28,6,3,107
中臺科技大學,16804,710,61,0,173,7,404,1,0,3,25,6,19,11
中華大學學校財團法人中華大學,10942,604,34,0,208,106,157,0,0,6,37,12,10,34
中華學校財團法人中華科技大學,10352,484,94,0,117,0,257,0,0,0,10,1,3,2
中華醫事科技大學,17980,766,76,24,285,10,291,0,0,4,4,19,2,51
亞東技術學院,8994,249,40,0,95,9,80,0,0,1,21,3,0,0
亞洲大學,23378,845,116,0,305,190,185,0,0,1,27,4,12,5
仁德醫護管理專科學校,12866,393,21,2,140,87,85,2,0,9,19,11,16,1
佛光大學,7100,376,49,0,110,188,0,0,1,5,11,6,5,1
修平學校財團法人修平科技大學,9168,480,60,20,142,75,146,0,0,2,0,3,22,10
健行學校財團法人健行科技大學,22538,1292,187,24,121,359,434,0,0,3,47,7,0,110
僑光科技大學,22112,967,94,0,354,290,128,1,0,4,36,7,50,3
元智大學,17406,421,91,0,99,55,126,0,0,1,6,5,19,19
光宇學校財團法人元培醫事科技大學,12412,594,99,1,130,191,125,0,1,3,25,13,2,4
南亞科技學校財團法人南亞技術學院,5378,486,50,0,64,80,266,0,0,0,15,8,3,0
南臺學校財團法人南臺科技大學,37126,898,47,0,318,272,166,0,0,2,48,13,25,7
南華大學,11380,677,95,0,193,62,267,0,1,7,34,5,12,1
南開科技大學,8212,503,49,2,160,75,191,0,0,0,12,4,0,10
台北海洋學校財團法人台北海洋科技大學,8880,698,8,3,221,139,234,0,0,9,33,33,4,14
台南家專學校財團法人台南應用科技大學,25428,1378,66,1,381,84,712,0,0,10,66,19,12,27
台灣基督長老教會南神神學院,134,3,0,0,1,0,0,0,0,0,1,0,0,1
台灣首府學校財團法人台灣首府大學,3078,290,10,0,31,118,83,0,0,1,29,0,18,0
台神學校財團法人台灣神學研究學院,214,2,0,0,0,0,1,0,0,0,0,0,1,0
吳鳳科技大學,8458,452,17,0,58,17,337,0,0,1,4,2,10,6
和春技術學院,1958,447,3,0,49,54,276,0,0,0,36,0,25,4
嘉藥學校財團法人嘉南藥理大學,26278,1283,14,0,273,142,721,0,0,5,10,17,1,100
國立中央大學,23644,537,77,0,113,72,242,0,2,3,13,5,10,0
國立中山大學,19126,558,61,0,33,59,201,0,1,2,48,5,88,60
國立中正大學,22410,619,110,1,133,65,273,0,0,5,21,2,2,7
國立中興大學,29966,844,126,0,216,134,239,0,0,10,55,7,45,12
國立勤益科技大學,22260,544,121,4,180,1,193,0,0,4,24,9,3,5
國立嘉義大學,23770,852,89,0,314,100,221,0,2,13,85,1,22,5
國立宜蘭大學,10838,348,46,0,126,36,114,0,0,1,6,0,19,0
國立屏東大學,17928,520,60,0,120,82,225,0,1,1,21,0,8,2
國立屏東科技大學,21726,609,95,0,162,75,224,0,0,8,17,2,26,0
國立彰化師範大學,16770,462,52,1,90,47,232,0,0,1,17,2,17,3
國立成功大學,42912,1063,145,0,139,121,566,0,0,5,18,15,53,1
國立政治大學,32780,629,65,0,119,5,408,0,0,5,22,1,3,1
國立暨南國際大學,12216,293,36,0,18,42,118,0,0,0,9,0,70,0
國立東華大學,19814,597,38,0,135,99,211,0,0,5,27,3,73,6
國立清華大學,33356,703,122,0,71,156,269,0,0,3,37,4,17,24
國立澎湖科技大學,6102,210,7,0,93,17,81,0,0,0,2,0,0,10
國立聯合大學,15176,535,104,1,213,68,131,0,0,0,5,0,13,0
國立臺中教育大學,9858,270,29,0,61,42,77,0,1,3,19,1,9,28
國立臺中科技大學,26734,573,91,1,167,101,166,0,0,2,18,2,6,19
國立臺北商業大學,13522,276,43,5,95,7,76,0,2,6,27,5,10,0
國立臺北大學,19908,477,99,0,114,34,136,0,0,2,53,4,22,13
國立臺北教育大學,11580,303,33,0,72,120,1,0,3,5,44,5,12,8
國立臺北科技大學,26928,601,104,1,76,123,251,0,0,3,18,9,12,4
國立臺北藝術大學,6196,171,17,0,6,22,76,0,0,1,25,0,24,0
國立臺北護理健康大學,10454,233,10,0,41,33,76,0,1,2,9,0,40,21
國立臺南大學,11334,336,30,0,109,16,26,0,0,3,96,7,49,0
國立臺南藝術大學,3214,125,14,0,30,5,27,0,0,1,12,1,21,14
國立臺南護理專科學校,3878,34,5,2,15,3,7,0,0,0,0,0,2,0
國立臺東大學,9444,350,7,0,148,12,139,0,0,2,27,1,3,11
國立臺東專科學校,2240,200,9,7,63,34,70,0,0,0,8,0,4,5
國立臺灣大學,63890,1324,164,0,135,426,428,0,0,1,43,1,15,111
國立臺灣師範大學,31432,717,77,0,134,484,0,0,0,3,8,0,5,6
國立臺灣戲曲學院,1190,35,8,0,7,5,13,0,0,0,0,0,0,2
國立臺灣海洋大學,17676,478,15,0,135,81,187,0,0,5,24,5,22,4
國立臺灣科技大學,22548,442,94,0,42,86,129,0,0,3,40,3,43,2
國立臺灣藝術大學,11202,287,20,0,49,90,100,0,0,0,5,1,13,9
國立臺灣體育運動大學,6214,282,53,1,67,45,94,0,0,0,13,8,1,0
國立虎尾科技大學,21498,446,99,0,126,45,123,0,0,2,32,12,4,3
國立金門大學,8774,385,42,0,109,107,112,0,1,2,5,1,6,0
國立陽明交通大學,29484,665,103,1,101,417,0,1,2,0,13,0,27,0
國立陽明大學,8672,218,9,0,68,21,79,0,2,1,18,0,6,14
國立雲林科技大學,19432,413,59,0,71,50,148,1,2,2,37,11,27,5
國立體育大學,5050,143,7,0,22,4,84,0,0,0,26,0,0,0
國立高雄大學,11326,374,41,0,109,44,148,0,0,4,23,0,3,2
國立高雄師範大學,13380,388,31,0,116,107,13,0,0,3,55,6,39,18
國立高雄科技大學,54604,1545,193,0,280,282,687,0,0,3,68,22,8,2
國立高雄餐旅大學,10072,129,5,2,43,12,56,0,0,2,3,3,2,1
城市學校財團法人臺北城市科技大學,18756,997,126,2,195,96,356,2,0,4,44,13,146,13
大仁科技大學,11554,853,25,0,137,266,357,1,2,5,26,5,29,0
大同大學,8334,365,118,0,74,32,113,0,0,3,4,0,18,3
大同技術學院,2674,311,68,0,55,22,135,0,0,1,17,4,1,8
大漢技術學院,2150,216,25,0,13,99,65,0,0,3,7,3,0,1
大華學校財團法人敏實科技大學,2314,243,15,1,38,56,97,1,1,0,7,2,4,21
大葉大學,18332,854,12,0,308,171,303,0,0,7,23,8,21,1
學校財團法人中華浸信會基督教台灣浸會神學院,82,0,0,0,0,0,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,11464,882,80,6,197,260,291,0,0,1,37,3,6,1
實踐大學,27110,1124,175,20,472,97,313,0,0,3,18,6,19,1
崇仁醫護管理專科學校,6660,109,5,12,27,3,53,0,0,2,0,1,0,6
崇右學校財團法人崇右影藝科技大學,4028,415,26,0,75,158,116,0,0,0,11,5,24,0
崑山科技大學,22540,1221,27,0,326,30,688,0,0,2,64,15,65,4
嶺東科技大學,20902,965,167,0,258,226,275,0,1,2,13,4,14,5
康寧學校財團法人康寧大學,7282,431,17,45,140,0,145,0,0,5,27,5,37,10
廣亞學校財團法人育達科技大學,8450,465,40,3,15,185,134,0,0,11,23,11,0,43
建國科技大學,14546,765,113,0,158,194,229,0,0,4,31,13,6,17
弘光科技大學,25558,924,83,0,230,203,369,0,0,2,9,4,23,1
德明財經科技大學,15652,568,56,3,221,15,239,2,0,1,16,1,2,12
德育學校財團法人德育護理健康學院,7418,488,40,18,211,33,93,1,3,7,32,13,26,11
慈惠醫護管理專科學校,9008,402,92,25,151,70,0,0,0,14,13,7,17,13
慈濟學校財團法人慈濟大學,6746,195,22,1,80,12,55,0,0,1,2,0,15,7
慈濟學校財團法人慈濟科技大學,6128,146,16,3,55,7,56,0,0,2,0,1,4,2
敏惠醫護管理專科學校,7808,105,27,0,12,4,48,0,0,0,2,0,3,9
文藻學校財團法人文藻外語大學,18642,691,107,0,222,77,192,1,1,3,50,6,30,2
新生醫護管理專科學校,12062,331,73,9,118,10,61,0,0,6,16,5,0,33
明志科技大學,9144,225,12,1,56,59,90,0,0,0,5,2,0,0
明新學校財團法人明新科技大學,24314,1125,67,0,230,180,347,0,0,1,234,1,48,17
明道學校財團法人明道大學,6524,400,45,0,75,159,103,1,0,1,7,3,3,3
景文科技大學,13698,698,146,0,186,158,171,0,0,8,9,4,16,0
朝陽科技大學,30728,1134,127,0,384,181,249,0,2,9,90,28,41,23
東南科技大學,11150,692,54,50,87,88,393,0,0,3,4,5,5,3
東吳大學,30888,827,157,0,177,94,364,0,1,4,6,0,15,9
東方學校財團法人東方設計大學,4546,409,43,2,150,35,140,0,1,0,8,5,23,2
東海大學,31502,883,142,0,340,0,331,0,0,10,10,1,37,12
樹人醫護管理專科學校,14572,506,49,38,252,20,107,0,0,7,17,0,0,16
樹德科技大學,20984,870,107,0,219,233,251,0,1,15,19,18,7,0
正修學校財團法人正修科技大學,33978,2235,487,31,532,288,752,1,2,10,49,16,48,19
法鼓學校財團法人法鼓文理學院,610,35,2,0,2,9,7,0,0,2,3,3,2,5
淡江大學學校財團法人淡江大學,49270,1656,313,0,573,0,664,0,0,8,14,1,43,40
玄奘大學,5778,452,63,0,101,182,26,0,0,8,34,3,12,23
環球學校財團法人環球科技大學,8276,667,66,0,140,207,185,0,0,3,23,13,27,3
真理大學,11174,647,28,0,318,150,136,0,0,0,2,8,5,0
稻江科技暨管理學院,3710,331,0,2,76,114,71,0,0,0,29,22,17,0
美和學校財團法人美和科技大學,13252,626,62,21,108,134,206,0,2,2,19,13,55,4
義守大學,29866,1410,103,0,544,315,191,0,0,5,28,19,24,181
耕莘健康管理專科學校,9822,325,16,26,150,8,87,0,0,5,9,0,16,8
聖母醫護管理專科學校,5122,195,4,27,77,13,61,0,0,0,3,2,7,1
聖約翰科技大學,6146,535,27,4,134,67,171,1,0,1,34,16,44,36
育英醫護管理專科學校,3992,59,9,1,10,0,25,0,0,3,0,0,11,0
致理學校財團法人致理科技大學,22738,654,91,16,160,51,236,0,0,6,20,7,65,2
臺北基督學院,162,10,0,0,0,0,10,0,0,0,0,0,0,0
臺北市立大學,15618,407,27,0,84,114,8,1,4,7,66,5,81,10
臺北醫學大學,11892,336,30,0,110,14,160,0,0,3,8,1,9,1
臺灣觀光學院,1216,156,6,3,33,39,51,0,0,0,19,2,3,0
華夏學校財團法人華夏科技大學,8072,826,9,0,143,192,447,0,0,1,15,3,10,6
華梵大學,3036,259,16,0,78,137,20,0,0,0,0,0,0,8
萬能學校財團法人萬能科技大學,20238,1303,162,112,400,336,218,2,0,5,34,25,7,2
蘭陽技術學院,1334,146,18,16,35,21,42,0,0,2,9,1,2,0
財團法人一貫道天皇基金會一貫道天皇學院,342,22,0,0,0,2,11,0,0,0,3,0,0,6
輔仁大學,51418,1781,356,2,372,259,717,0,0,9,28,10,26,2
輔英科技大學,19064,625,28,0,190,137,197,0,1,9,37,9,3,14
逢甲大學,41088,918,38,0,321,505,0,0,1,5,34,4,10,0
遠東科技大學,9884,524,23,0,112,108,207,0,1,3,31,16,15,8
醒吾學校財團法人醒吾科技大學,15126,1500,91,40,300,144,762,0,0,5,24,23,51,60
銘傳大學,37582,952,102,0,386,111,285,0,0,9,39,1,16,3
長庚大學,13668,386,27,0,158,31,145,0,0,0,2,1,16,6
長庚學校財團法人長庚科技大學,12874,140,6,0,68,3,29,1,1,1,14,2,9,6
長榮大學,17218,739,39,0,347,313,1,0,0,3,20,7,9,0
開南大學,11788,716,72,0,178,210,215,0,1,2,20,1,13,4
靜宜大學,24014,675,52,0,304,57,201,1,0,8,18,2,28,4
馬偕學校財團法人馬偕醫學院,1368,22,0,0,6,1,14,0,0,0,0,0,0,1
馬偕學校財團法人馬偕醫護管理專科學校,8446,249,14,8,133,26,43,0,0,2,4,0,17,2
高苑科技大學,7432,583,62,40,107,145,105,0,1,3,70,26,5,19
高雄醫學大學,12974,346,11,0,150,12,153,0,0,0,4,1,2,13
黎明技術學院,10120,1807,256,11,193,164,493,5,2,41,155,129,67,291
龍華科技大學,22660,1159,188,3,296,274,310,1,0,3,29,22,19,14
